file,true_label,pred_prob,pred_label
1.npy,0,1.929546158407902e-07,0
10.npy,0,2.068756685957851e-07,0
1000.npy,0,5.179299023438944e-06,1
1001.npy,1,3.976357220381033e-06,1
1003.npy,0,4.193302629573736e-06,1
1004.npy,1,5.822052116855048e-06,1
1005.npy,0,4.986917701899074e-06,1
1006.npy,1,4.954878022545017e-06,1
1007.npy,1,3.3930302834050963e-06,1
1008.npy,1,2.3570601115352474e-06,1
1009.npy,1,2.749022769421572e-06,1
1010.npy,1,2.718706582527375e-06,1
1011.npy,1,4.173528395767789e-06,1
1012.npy,1,5.546107786358334e-06,1
1013.npy,1,5.2404120651772246e-06,1
1014.npy,1,5.71746477362467e-06,1
1015.npy,1,4.522543804341694e-06,1
1016.npy,1,3.288852667537867e-06,1
1017.npy,1,4.2811848288693e-06,1
1018.npy,1,4.437673851498403e-06,1
1019.npy,1,4.045655259687919e-06,1
1021.npy,1,4.428837655723328e-06,1
1022.npy,1,5.895342837902717e-06,1
1023.npy,1,4.527575129031902e-06,1
1024.npy,1,5.178315404918976e-06,1
1025.npy,1,2.995253453264013e-06,1
1026.npy,1,3.673656465252861e-06,1
1027.npy,0,3.665722488221945e-06,1
1028.npy,1,3.5547407151170773e-06,1
1029.npy,0,3.151992586936103e-06,1
1030.npy,1,5.695699655916542e-06,1
1031.npy,1,2.334933924430516e-06,1
1032.npy,1,5.1215265557402745e-06,1
1034.npy,0,3.428497848290135e-06,1
1035.npy,1,2.558356300141895e-06,1
1036.npy,1,2.7927135306526907e-06,1
1037.npy,1,3.586487309803488e-06,1
1038.npy,0,1.5474789734071237e-06,1
1039.npy,0,3.6502328839560505e-06,1
1040.npy,0,5.372775376599748e-06,1
1041.npy,1,2.849700194929028e-06,1
1043.npy,1,3.3224091566808056e-06,1
1044.npy,1,4.244863703206647e-06,1
1045.npy,1,6.646319889114238e-06,1
1046.npy,0,4.055860699736513e-06,1
1047.npy,1,3.51136372955807e-06,1
1048.npy,1,2.116986706823809e-06,1
1050.npy,1,3.7900872484897263e-06,1
